Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1064999,-,-,-,40.45,-79.98,-5,272,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DNI,Cloud Type,Wind Speed,Wind Direction,wind_x,wind_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,0,0,0,0,0.6,241,0,-0.290885772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,0,30,0,0,0.6,241,-0.524771824,-0.290885772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,1,0,0,0,0.6,238,-0.508828858,-0.317951559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,1,30,0,0,0.6,238,-0.508828858,-0.317951559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,2,0,0,0,0.6,225.8,-0.430146365,-0.418299062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,2,30,0,0,0.5,225.8,-0.358455304,-0.348582551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,3,0,0,0,0.5,214.4,-0.282483502,-0.412556749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,3,30,0,4,0.5,214.4,-0.282483502,-0.412556749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,4,0,0,4,0.5,203.6,-0.200174516,-0.458181365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,4,30,0,0,0.5,203.6,-0.200174516,-0.458181365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,5,0,0,4,0.6,195.2,-0.157313507,-0.579009897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,5,30,0,4,0.6,195.2,-0.157313507,-0.579009897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,6,0,0,1,0.6,195.1,-0.156302705,-0.579283579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,6,30,0,4,0.6,195.1,-0.156302705,-0.579283579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,7,0,0,0,0.6,194,-0.145153137,-0.582177436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,7,30,0,4,0.5,194,-0.120960948,-0.485147863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,8,0,159,1,0.5,195.3,-0.131936525,-0.482278709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,8,30,0,4,0.6,195.3,-0.15832383,-0.578734451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,9,0,580,1,0.7,206.7,-0.314523299,-0.625359972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,9,30,167,4,0.8,206.7,-0.359455199,-0.714697111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,10,0,252,4,0.9,216.1,-0.530276722,-0.727190896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,10,30,116,4,0.9,216.1,-0.530276722,-0.727190896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,11,0,34,4,1,217,-0.601815023,-0.79863551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,11,30,271,4,1,217,-0.601815023,-0.79863551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,12,0,363,4,1,215.4,-0.579281172,-0.815127796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,12,30,334,4,1,215.4,-0.579281172,-0.815127796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,13,0,844,0,1.1,213.5,-0.607130684,-0.917274404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,13,30,832,0,1.1,213.5,-0.607130684,-0.917274404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,14,0,825,0,1.1,214.3,-0.619878654,-0.908708124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,14,30,790,0,1,214.3,-0.563526049,-0.826098294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,15,0,746,0,1,216.1,-0.589196357,-0.807989884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,15,30,672,0,0.9,216.1,-0.530276722,-0.727190896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,16,0,570,0,0.9,217.1,-0.542887189,-0.717825536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,16,30,388,0,0.9,217.1,-0.542887189,-0.717825536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,17,0,0,0,0.9,218,-0.554095328,-0.709209678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,17,30,0,0,0.9,218,-0.554095328,-0.709209678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,18,0,0,0,0.9,219.3,-0.570042785,-0.696456189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,18,30,0,0,0.9,219.3,-0.570042785,-0.696456189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,19,0,0,0,0.9,221.9,-0.6010493,-0.669880392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,19,30,0,0,0.9,221.9,-0.6010493,-0.669880392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,20,0,0,0,0.9,225.1,-0.637505854,-0.635284414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,20,30,0,0,0.9,225.1,-0.637505854,-0.635284414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,21,0,0,0,0.9,228.9,-0.678207053,-0.591637721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,21,30,0,1,0.9,228.9,-0.678207053,-0.591637721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,22,0,0,0,0.9,232.7,-0.715926133,-0.54538956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,22,30,0,0,0.8,232.7,-0.636378785,-0.48479072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,23,0,0,0,0.8,235.1,-0.656121501,-0.457716699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,1,23,30,0,4,0.8,235.1,-0.656121501,-0.457716699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,0,0,0,4,0.8,234.9,-0.654519774,-0.460004202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,0,30,0,0,0.8,234.9,-0.654519774,-0.460004202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,1,0,0,0,0.8,234.9,-0.654519774,-0.460004202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,1,30,0,0,0.7,234.9,-0.572704802,-0.402503676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,2,0,0,0,0.7,234.1,-0.567029148,-0.41046065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,2,30,0,0,0.7,234.1,-0.567029148,-0.41046065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,3,0,0,0,0.7,234.7,-0.571296313,-0.404500337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,3,30,0,0,0.7,234.7,-0.571296313,-0.404500337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,4,0,0,0,0.7,235,-0.573406431,-0.401503505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,4,30,0,0,0.7,235,-0.573406431,-0.401503505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,5,0,0,4,0.7,235,-0.573406431,-0.401503505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,5,30,0,1,0.7,235,-0.573406431,-0.401503505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,6,0,0,4,0.7,231.3,-0.546301285,-0.437669859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,6,30,0,1,0.7,231.3,-0.546301285,-0.437669859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,7,0,0,1,0.7,226.1,-0.504385778,-0.48538128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,7,30,0,1,0.7,226.1,-0.504385778,-0.48538128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,8,0,123,1,0.7,219.4,-0.444311359,-0.540913501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,8,30,356,1,0.7,219.4,-0.444311359,-0.540913501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,9,0,516,0,0.7,215.3,-0.404500337,-0.571296313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,9,30,614,0,0.7,215.3,-0.404500337,-0.571296313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,10,0,680,1,0.7,212.2,-0.373013393,-0.592335216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,10,30,35,4,0.7,212.2,-0.373013393,-0.592335216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,11,0,126,4,0.8,210.9,-0.410833002,-0.686451925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,11,30,776,1,0.8,210.9,-0.410833002,-0.686451925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,12,0,795,1,0.8,211.7,-0.420377321,-0.680648888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,12,30,336,4,0.7,211.7,-0.367830156,-0.595567777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,13,0,805,0,0.7,212.4,-0.375078756,-0.591029548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,13,30,791,0,0.7,212.4,-0.375078756,-0.591029548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,14,0,778,0,0.7,211.6,-0.366790134,-0.596208854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,14,30,741,0,0.6,211.6,-0.314391544,-0.51103616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,15,0,162,4,0.6,210.3,-0.302716574,-0.51803733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,15,30,621,0,0.6,210.3,-0.302716574,-0.51803733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,16,0,516,0,0.6,211.6,-0.314391544,-0.51103616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,16,30,337,4,0.6,211.6,-0.314391544,-0.51103616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,17,0,0,4,0.6,209.2,-0.292715795,-0.523753246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,17,30,0,4,0.5,209.2,-0.24392983,-0.436461039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,18,0,0,4,0.5,200.2,-0.172649099,-0.469246511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,18,30,0,4,0.5,200.2,-0.172649099,-0.469246511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,19,0,0,4,0.6,203.8,-0.242127178,-0.548975801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,19,30,0,4,0.6,203.8,-0.242127178,-0.548975801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,20,0,0,4,0.7,215.4,-0.405496821,-0.570589457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,20,30,0,4,0.7,215.4,-0.405496821,-0.570589457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,21,0,0,4,0.8,216.8,-0.479218879,-0.640585097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,21,30,0,4,0.7,216.8,-0.419316519,-0.56051196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,22,0,0,4,0.7,212.3,-0.374046645,-0.591683283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,22,30,0,4,0.7,212.3,-0.374046645,-0.591683283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,23,0,0,4,0.7,210.9,-0.359478876,-0.600645434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,23,30,0,4,0.6,210.9,-0.308124751,-0.514838943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,0,0,0,4,0.5,195.4,-0.132778059,-0.482047702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,0,30,0,4,0.5,195.4,-0.132778059,-0.482047702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,1,0,0,4,0.6,204,-0.244041986,-0.548127275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,1,30,0,4,0.6,204,-0.244041986,-0.548127275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,2,0,0,4,0.6,210.7,-0.306325751,-0.515911363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,2,30,0,4,0.6,210.7,-0.306325751,-0.515911363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,3,0,0,4,0.6,211.5,-0.313499139,-0.511584099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,3,30,0,4,0.6,211.5,-0.313499139,-0.511584099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,4,0,0,4,0.7,214.4,-0.395476902,-0.577579449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,4,30,0,7,0.7,214.4,-0.395476902,-0.577579449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,5,0,0,1,0.7,218.5,-0.435760246,-0.54782571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,5,30,0,1,0.7,218.5,-0.435760246,-0.54782571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,6,0,0,1,0.7,220,-0.449951327,-0.53623111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,6,30,0,4,0.7,220,-0.449951327,-0.53623111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,7,0,0,7,0.7,220.5,-0.454613634,-0.532284176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,7,30,0,7,0.7,220.5,-0.454613634,-0.532284176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,8,0,0,7,0.8,222.1,-0.536341295,-0.593580673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,8,30,0,7,0.8,222.1,-0.536341295,-0.593580673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,9,0,0,7,0.8,218.4,-0.496918224,-0.626954766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,9,30,0,8,0.7,218.4,-0.434803446,-0.54858542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,10,0,95,3,0.7,206.9,-0.316704297,-0.624258271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,10,30,0,4,0.7,206.9,-0.316704297,-0.624258271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,11,0,0,4,0.8,208,-0.37557725,-0.706358074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,11,30,0,4,0.8,208,-0.37557725,-0.706358074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,12,0,59,4,0.8,214.9,-0.457716699,-0.656121501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,12,30,116,4,0.8,214.9,-0.457716699,-0.656121501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,13,0,154,4,0.8,215.2,-0.461145853,-0.653715919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,13,30,56,4,0.8,215.2,-0.461145853,-0.653715919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,14,0,235,4,0.8,215.2,-0.461145853,-0.653715919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,14,30,246,4,0.7,215.2,-0.403502621,-0.572001429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,15,0,604,1,0.7,214.4,-0.395476902,-0.577579449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,15,30,525,1,0.7,214.4,-0.395476902,-0.577579449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,16,0,404,0,0.7,213.2,-0.383294256,-0.585735019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,16,30,231,7,0.6,213.2,-0.328537934,-0.502058588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,17,0,0,7,0.6,211.8,-0.316173477,-0.509935616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,17,30,0,4,0.6,211.8,-0.316173477,-0.509935616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,18,0,0,4,0.6,211.1,-0.309919997,-0.513760251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,18,30,0,4,0.6,211.1,-0.309919997,-0.513760251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,19,0,0,4,0.7,214.4,-0.395476902,-0.577579449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,19,30,0,4,0.7,214.4,-0.395476902,-0.577579449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,20,0,0,4,0.7,216.7,-0.418337603,-0.561242951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,20,30,0,4,0.7,216.7,-0.418337603,-0.561242951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
